question,answer
In which neighborhood would you find Soldiers & Sailors Memorial Hall & Museum honoring military history?,Oakland.
When was Mellon Institute established as part University Of Pittsburg now integrated into CMU campus today,1913.
Where does PNC Park sit relative location within city limits hosting home games Pirates MLB team,North Shore.
What notable event took place at Civic Arena before Penguins moved PPG Paints Arena,Hosted Civic Light Opera performances.
When did Heinz History Center become affiliated Smithsonian Institution regional history museum,1998.
In which neighborhood would you find Mattress Factory contemporary art museum,North Side.
When did Frick Environmental Center reopen after renovations providing educational programs Schenley Park,2016.
When was Andy Warhol Museum established celebrating legacy pop art icon born raised here,1994.
In which neighborhood would you find Cathedral Learning iconic landmark University Pitt campus,Oakland.
When were first documented cases Underground Railroad activity helping slaves escape freedom,1850s.
When did Three Rivers Stadium open serving home field Steelers Pirates until demolition replaced separate venues,1970.
In which neighborhood can you visit National Aviary showcasing diverse bird species habitats indoors outdoors exhibits alike,North Side.
When did Point Park University establish Conservatory Performing Arts offering degree programs theater dance music related fields alike today,1960s.
When were first documented cases Underground Railroad activity helping slaves escape freedom,1850s.
When did Three Rivers Stadium open serving home field Steelers Pirates until demolition replaced separate venues,1970.
In which neighborhood can you visit National Aviary showcasing diverse bird species habitats indoors outdoors exhibits alike,North Side.
When did Point Park University establish Conservatory Performing Arts offering degree programs theater dance music related fields alike today,1960s.
When was Carnegie Mellon University founded?,1900
Who founded Carnegie Mellon University?,Andrew Carnegie
What was the original name of Carnegie Mellon University?,Carnegie Technical Schools
When did Carnegie Tech merge with the Mellon Institute?,1967
What is the nickname of the university's sports teams?,Tartans
What is the name of CMU's global campus in Africa?,Carnegie Mellon University Africa
When was the first drama degree awarded at CMU?,1914
Who was CMU's first president?,Arthur A Hamerschlag
When did CMU begin offering graduate degrees?,1919
What is the name of CMU's college for fine arts?,College of Fine Arts
Who was the first PhD graduate from Carnegie Tech?,Mao Yisheng
What year did CMU celebrate its 50th anniversary as a merged institution?,2017
When did CMU launch its $1 billion fundraising campaign 'Insp!re Innovation'?,2003
How much did William S Dietrich II donate in 2011?,$265 million from 
When was the Robotics Institute at CMU established?,1979
What is the name of CMU's student newspaper?,The Tartan
Who co-founded Sun Microsystems and is an alumnus of CMU?,Vinod Khosla
What year did CMU open its Qatar campus?,2004
When was the School of Computer Science established at CMU?,1988
Who invented the emoticon at CMU in 1982?,Scott Fahlman
What year did Margaret Morrison Carnegie College close and merge with other programs at CMU?,1973
When did CMU establish its Entertainment Technology Center (ETC)?,1999
Who was a notable faculty member and pioneer in artificial intelligence at CMU?,Herbert A Simon
What year did Andrew Carnegie announce his intention to build a technical school in Pittsburgh that led to the founding of CMU?,1900
Which campus building houses the College of Engineering at CMU?,Hamerschlag Hall
When did Farnam Jahanian become president of CMU?,2018
Which department at CMU is known for its work in autonomous vehicles and robotics?,The Robotics Institute
What annual event showcases student projects and research across disciplines at CMU?,Meeting of the Minds Symposium
In what year did Scott Fahlman propose using emoticons online while at CMU?,1982
Which program at CMU focuses on interdisciplinary education combining arts and technology?,Integrated Innovation Institute (III)
Who was a significant benefactor for whom a college at CMU was named after his mother: Marianna Brown Dietrich College of Humanities and Social Sciences?,William S Dietrich II
What was the original name of Pittsburgh before it was renamed?,Fort Duquesne
When was Pittsburgh officially founded?,1758
Who was responsible for naming Pittsburgh?,General John Forbes
What significant event led to the British capturing Fort Duquesne and renaming it Pittsburgh?,The French and Indian War
What did the U.S. Board on Geographic Names change Pittsburgh's name to?,Pittsburg
When did the United States Board on Geographic Names temporarily change the spelling of Pittsburgh to 'Pittsburg'?,1891
What major industry dominated Pittsburgh's economy in the 19th and early 20th centuries?,Steel industry
What are the Pittsburgh's sports teams' colors?,Black and gold colors
What year did the first record of coal mining occur in Pittsburgh?,1761
When was the University of Pittsburgh founded?,1787
When did Pittsburgh incorporate as a city?,1816
Who founded Carnegie Mellon University?,Andrew Carnegie
What year was the first World Series played in Pittsburgh?,1903
What was the first commercial radio station in Pittsburgh?,KDKA
What year was the 'H' returned to Pittsburgh's name?,1911
Where is the Andy Warhol Museum located in Pittsburgh?,North Shore
When was the Pittsburgh Aviary designated as the National Aviary?,1993
When did glass manufacture start in Pittsburgh?,1797
Who led the preparations for the Lewis and Clark Expedition in Pittsburgh?,Meriwether Lewis
What invention by a Pittsburgh native debuted at the 1893 World's Fair?,Ferris Wheel
What is Pittsburgh famously known as due to its numerous bridges?,City of Bridges
Who invented the emoticon in Pittsburgh?,Scott Fahlman
What vaccine was developed by Dr Jonas Salk in Pittsburgh?,Polio vaccine
Where is the world's first T-rex skeleton displayed in Pittsburgh?,Carnegie Museum of Natural History
What was Pittsburgh's first major industry after the American Revolution?,Boat building
